state;code
RS;4311007
RS;4311403
RS;4313409
RS;4314050
RS;4314209
RS;4314407
RS;4314902
RS;4315305
RS;4316006
RS;4316402
RS;4316907
RS;4318408
RS;4318804
RS;4319505
RS;4320008
RS;4320800
RS;4321303
RS;4321451
RS;4321501
RS;4321709
RS;4322400
RS;4322608
SC;
SC;
