"reg";"sist_alert_ench";"fisc_ench";"map_risco_inund"
"North region";5,15970515970516;17,9361179361179;41,7690417690418
"Northeast region";4,82204362801378;12,6865671641791;26,0045924225029
"Southeast region";11,5707434052758;22,6019184652278;47,7218225419664
"South region";11,1111111111111;23,4848484848485;53,956228956229
"Midwest region";1,31578947368421;17,9824561403509;22,8070175438596
"Brazil";7,98388573521333;18,8976377952756;39,6264420435818
