".";"(1)";"(2)";"(3)";"(4)";"(5)";"(6)"
"Coef";"593.28";"2.07";"1114.279";"1.607";"-433.919";"1.746"
"";"(813.952)";"(1.931)";"(1825.565)";"(3.698)";"(624.105)";"(1.388)"
"";"fit_map_risco_inund";"fit_map_risco_inund";"fit_fisc_ench";"fit_fisc_ench";"fit_sist_alert_ench";"fit_sist_alert_ench"
"Coef";"0.27***";"0.27***";"0.186";"0.186";"0.58***";"0.58***"
"";"(0.076)";"(0.076)";"(0.113)";"(0.113)";"(0.132)";"(0.132)"
"";"z_mean_map_risco_inund";"z_mean_map_risco_inund";"z_mean_fisc_ench";"z_mean_fisc_ench";"z_mean_sist_alert_ench";"z_mean_sist_alert_ench"
"Controls";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"KP F-Statistic - First Stage";"11.08";"11.08";"2.89";"2.89";"25.41";"25.41"
"Number of Observations";"301";"301";"301";"301";"301";"301"
